address,city,lat,lng,name,state,zip
11091 Atlanta Hwy,Montgomery,,,Montgomery KOA,Idaho,36117
2414 N US Hwy 231,Ozark,,,Ozark / Fort Rucker KOA Journey,Idaho,36360
11650 County Road 99,Lillian,,,Gulf Shores / Pensacola West KOA Holiday,Idaho,36549
117 Timberlane Rd,Clarksboro,,,Philadelphia South / Clarksboro KOA Holiday,Idaho,08020
1545 Targhee Pass Hwy,West Yellowstone,,,Yellowstone Park / Mountainside KOA Journey,Idaho,59758
3720 Centennial Road,Bismarck-8001,,,Bismarck KOA Journey,Idaho,58503
2661 County Lake Road,Starkville,,,Starkville KOA Holiday,Idaho,39759
41 W HWY 14,Spearfish,,,Spearfish / Black Hills KOA Holiday,Idaho,57783
807 Bill Baggs Road,Yankton,,,Yankton / Missouri River KOA Journey,Idaho,57078
651 North Camper Drive,West Wendover,,,Wendover KOA Journey,Idaho,89883
3305 Targhee Pass Highway,6 miles West on US Hwy 20,,,Yellowstone Park / West Gate KOA Holiday,Idaho,6 mil
11129 Jefferson Highway,DO NOT USE GPS,,,New Orleans KOA Holiday,Idaho,DO NO
768 Cecil Avenue North -,Millersville,,,Washington DC / Capitol KOA Holiday,Idaho,21108
6510 West 70th Street,Shreveport,,,Shreveport / Bossier City KOA Journey,Idaho,71129
7781 Highway 1 North,Shreveport,,,Shreveport North / Caddo Lake Area KOA,Idaho,71107
7072 E. Grange Hall Rd,Holly,,,Auburn Hills / Holly KOA,Idaho,48442
3527 Coloma Road,Benton Harbor,,,Coloma / St. Joseph KOA Holiday,Idaho,49022
4577 W State Road 56,Scottsburg,,,Scottsburg / Raintree Lake KOA Holiday,Idaho,47170
7628 Vincent Road,Denham Springs,,,Baton Rouge KOA Holiday,Idaho,70726
184 Pennwood Street,Meridian,,,Boise / Meridian KOA Journey,Idaho,83642
441 S Liberty Lane,5431 US Highway 93,,,Twin Falls / Jerome KOA Holiday,Idaho,5431 
28501 US Highway 89 North,Montpelier,,,Montpelier Creek KOA Journey,Idaho,83254
100 Bristol Park Lane,PO Box 729,,,Lava Hot Springs East KOA Holiday,Idaho,PO Bo
4243 Highway 12,Kamiah,,,Kamiah / Clearwater River KOA Journey,Idaho,83536
9815 W Pocatello Creek Road,Pocatello,,,Pocatello KOA Journey,Idaho,83201
89 North Center Street,PO Box 779,,,Lava Hot Springs West KOA Holiday,Idaho,PO Bo
2424 North 3000 West,Arco,,,Craters of the Moon / Arco KOA Journey,Idaho,83213
5896 West 200 North,Greenfield,,,Indianapolis KOA Holiday,Idaho,46140
3101 Cart Rd,Richmond,,,Richmond KOA Holiday,Idaho,47374
2882 N.W. Shafer Drive,Monticello,,,Indiana Beach / Monticello KOA Holiday,Idaho,47960
52867 State Road 13,Middlebury,,,Elkhart Co. / Middlebury KOA Holiday,Idaho,46540
1600 Lafayette Road,Crawfordsville,,,Crawfordsville KOA Journey,Idaho,47933
2248 State Road 46 E,Nashville-9250,,,Brown County / Nashville KOA Holiday,Idaho,47448
1625 West Lancaster Street,Bluffton,,,Bluffton / Fort Wayne South KOA Journey,Idaho,46714
5251 West US 20,Angola,,,Angola / Hogback Lake KOA Holiday,Idaho,46703
25027 S Interstate,Wakeeney,,,WaKeeney KOA Journey,Idaho,67672
100 South KOA Drive,Wellington,,,Wellington KOA Holiday,Idaho,67152
1949 SW 49th,Topeka,,,Topeka / Capital City KOA Journey,Idaho,66609
7234 E State Rd 46,Batesville,,,Batesville KOA Journey,Idaho,47006
1109 West Diamond Drive,Salina,,,Salina KOA Holiday,Idaho,67401
1114 East US Highway 24,Goodland,,,Goodland KOA Journey,Idaho,67735
1473 Highway 40,Lawrence,,,Kansas City West / Lawrence KOA Holiday,Idaho,66044
701 Park Street,Dodge City,,,Dodge City KOA Journey,Idaho,67801
208 Ferry Road,Po Box 129,,,Cornwall / Charlottetown KOA Holiday,Idaho,Po Bo
23714 Trans Canada Highway,Borden-Carleton 1X0 Canada,,,Borden / Summerside KOA Journey,Idaho,C0B 1
198 Forest Hills Lane,Cavendish 1N0 Canada,,,Cavendish KOA Holiday,Idaho,C0A 1
1855 North Coldwater Road,Weidman,,,Weidman KOA Holiday,Idaho,48893
9700 S M-37,Buckley,,,Traverse City KOA,Idaho,49620
3591 Forest Road,Oscoda,,,Oscoda / Tawas KOA Holiday,Idaho,48750
3500 Strand Road,Muskegon,,,Muskegon KOA,Idaho,49445
W1118 US-2 Highway,St Ignace,,,St. Ignace / Mackinac Island KOA Holiday,Idaho,49781
E10102 State Hwy M28,Wetmore,,,Munising / Pictured Rocks KOA Journey,Idaho,49895
15600 Tunnicliffe Road,Petersburg,,,Monroe Co. / Toledo North KOA Holiday,Idaho,49270
5111 Lapeer Rd.,Kimball,,,Port Huron KOA Resort,Idaho,48074
3800 W. Federal Hwy,Roscommon,,,Higgins Lake / Roscommon KOA,Idaho,48653
5101 Campfires Parkway,Gaylord,,,Gaylord KOA Holiday,Idaho,49735
6680 Bunton Rd,Ypsilanti,,,Detroit / Ann Arbor KOA Holiday,Idaho,48197
11713 West 40th Street,Branch,,,Ludington East / Pere Marquette River KOA Holiday,Idaho,49402
566 Trailsend Road,Mackinaw City,,,Mackinaw City / Mackinac Island KOA Journey,Idaho,49701
39397 M140 Highway,Covert,,,Covert / South Haven KOA Holiday,Idaho,49043
3864 Breen Road,Emmett,,,Emmett KOA Holiday,Idaho,48022
1825 Saint Mary St.,Scott,,,Lafayette KOA Holiday,Idaho,70583
8275 Warner Street,Allendale,,,Allendale / West Grand Rapids KOA Holiday,Idaho,49401
11759 Snug Harbor Lane,Williamsport,,,Hagerstown / Antietam Battlefield KOA Holiday,Idaho,21795
3953 KOA Campground Road,Toomsuba,,,Meridian East / Toomsuba KOA Journey,Idaho,39364
1710 State Route 414 (GPS address 1710 KOA Dr),PO Box 228,,,Watkins Glen / Corning KOA Resort,Idaho,PO Bo
221 Okatoma River Road,Hattiesburg,,,Hattiesburg / Okatoma River KOA,Idaho,39401
242 Union Church Road,Franklin,,,Unadilla / I-88 / Oneonta KOA Journey,Idaho,13775
1250 Pletcher Road,Youngstown,,,Niagara Falls North / Lewiston KOA Journey,Idaho,14174
8001 East Lake Road,Route 5,,,Westfield / Lake Erie KOA Journey,Idaho,Route
2570 Grand Island Blvd.,Grand Island,,,Niagara Falls / Grand Island KOA Holiday,Idaho,14072
119 Freetown Highway,Plattekill,,,New York City North / Newburgh KOA Holiday,Idaho,12589
6081 State Route 3,Natural Bridge,,,Natural Bridge / Watertown KOA Journey,Idaho,13665
2711 County Line Road,Medina,,,Medina / Wildwood Lake KOA Holiday,Idaho,14103
5591 NYS Route 86,Wilmington,,,Lake Placid / Whiteface Mtn. KOA Holiday,Idaho,12997
564 Lake Avenue,Lake Luzerne,,,Lake George / Saratoga KOA Journey,Idaho,12846
4626 State Route 28 North,Herkimer,,,Herkimer Diamond KOA Resort,Idaho,13350
7531 County Road 13,Bath,,,Hammondsport / Bath KOA Resort,Idaho,14810
565 Ostrander Road,Richfield Springs,,,Cooperstown  KOA Journey,Idaho,13439
7632 Centerville Road,Houghton,,,Houghton / Letchworth KOA Holiday,Idaho,14744
5374 Canandaigua Farmington Town Line Road,Farmington,,,Canandaigua / Rochester KOA Holiday,Idaho,14425
10000 Aha Macav Parkway,Laughlin-7001,,,Laughlin / Avi Casino KOA Journey,Idaho,89029
5225 Boulder Hwy,Las Vegas,,,Las Vegas KOA Journey at Sam's Town,Idaho,89122
1596 South US Highway 93,Ely,,,Ely KOA Journey,Idaho,89301
5652 Thum Road,Dewittville,,,Chautauqua Lake KOA Holiday,Idaho,14728
3730 Idaho Street,Elko,,,Elko KOA Journey,Idaho,89801
2100 Garson Rd,Verdi,,,Reno KOA Journey at Boomtown,Idaho,89439
2751 Millers Bottom Road,New Columbia,,,Williamsport South / Nittany Mtn. KOA Holiday,Idaho,17856
7 KOA Road,Washington,,,Washington / Pittsburgh SW KOA Journey,Idaho,15301
1101 Riveredge Rd,Connellsville,,,Uniontown KOA Holiday,Idaho,15425
19366 Little Valley Rd,Saxton,,,Raystown Lake / Saxton KOA Holiday,Idaho,16678
1278 Waterloo-Geneva Rd,Waterloo,,,Waterloo / Finger Lakes KOA,Idaho,13165
25164 PA-27,Meadville,,,Meadville KOA Journey,Idaho,16335
354 Springville Road,New Holland,,,Lancaster / New Holland KOA Journey,Idaho,17557
1659 Embreeville Road,Coatesville,,,Philadelphia / West Chester KOA Holiday,Idaho,19320
764 Waltz Mill Road,Ruffs Dale,,,Madison / Pittsburgh S.E. KOA Journey,Idaho,15679
32 dustin blvd,Bradford,,,Kinzua East KOA,Idaho,16701
11 Lickdale Rd,Jonestown,,,Jonestown / Hershey NE KOA Journey,Idaho,17038
1337 Butler Pike,Mercer,,,Mercer / Grove City KOA Holiday,Idaho,16137
6645 West Road,Mckean,,,Erie KOA Holiday,Idaho,16426
50 Countryside Lane,Honesdale,,,Honesdale / Pocono KOA Holiday,Idaho,18431
95 Coral Reef Road,DuBois,,,DuBois / Treasure Lake KOA Holiday,Idaho,15801
2481 Jacksonville Road,Bellefonte,,,Bellefonte / State College KOA Holiday,Idaho,16823
1980 Turnpike Road,Elizabethtown,,,Elizabethtown / Hershey KOA Holiday,Idaho,17022
20 Knox Road,Gettysburg,,,Gettysburg / Battlefield KOA Holiday,Idaho,17325
227 Hollow Road,East Stroudsburg,,,Delaware Water Gap / Pocono Mountain KOA Holiday,Idaho,18302
6750 KOA Drive,New Tripoli,,,Allentown KOA Journey,Idaho,18066
20900 South 4200 Road,Claremore,,,Tulsa NE / Will Rogers Downs  KOA Journey,Idaho,74019
6200 South Choctaw Road,Choctaw,,,Oklahoma City East KOA Holiday,Idaho,73020
1900 KOA Power Drive,Sallisaw,,,Sallisaw / Fort Smith West KOA Holiday,Idaho,74955
409329 E 1078 Rd,I-40 and Pierce Rd  Exit 255,,,Checotah / Lake Eufaula West KOA Holiday,Idaho,I-40 
21167 RT. 66 N,Foss,,,Elk City / Clinton KOA Journey,Idaho,73647
3650 Enterprise Blvd,Durant,,,Durant / Choctaw Casino KOA,Idaho,74701
Call for directions,Calumet,,,El Reno West KOA Journey,Idaho,73014
675 Streeter Drive,North Sioux City,,,Sioux City North KOA Holiday,Idaho,57049
3010 East Highway 44,Rapid City,,,Rapid City / Black Hills KOA Holiday,Idaho,57703
41255 South Dakota Highway 38,Mitchell,,,Mitchell KOA Journey,Idaho,57301
I-90 Exit 235,307 South Hwy 273,,,Kennebec KOA Journey,Idaho,307 S
1401 East Robur Drive,Sioux Falls,,,Sioux Falls KOA Journey,Idaho,57104
12620 Highway 244,Hill City,,,Mount Rushmore KOA Resort at Palmer Gulch,Idaho,57745
27585 SD Highway 79,Hot Springs,,,Hot Springs SD / Black Hills KOA Holiday,Idaho,57747
11484 US-14A,Lead,,,Deadwood / Black Hills KOA Holiday,Idaho,57754
5121 Highway 93 South,Whitefish,,,Whitefish / Kalispell North KOA Holiday,Idaho,59937
12021 US Highway 16,Custer,,,Custer / Mount Rushmore / Black Hills KOA Holiday,Idaho,57730
24201 South Dakota Highway 63,Midland-7302,,,Belvidere East / Exit 170 KOA Journey,Idaho,57552
20720 SD Highway 44,"use coordinates for GPS: N 43.6918670000, W-101.931283 street address",,,Badlands / White River KOA Holiday,Idaho,use c
15 KOA Road,Three Forks,,,Three Forks KOA Journey,Idaho,59752
81 Silos Road,Townsend,,,Townsend / Canyon Ferry Lake KOA Journey,Idaho,59644
106 West Shore,St Mary,,,St. Mary / East Glacier KOA Holiday,Idaho,59417
355 Halfmoon Flats Road,West Glacier,,,West Glacier KOA Resort,Idaho,59936
7464 US HWY 212,Red Lodge,,,Red Lodge KOA Journey,Idaho,59068
1 Palmer Street,Miles City,,,Miles City KOA Journey,Idaho,59301
3450 Tina Avenue,Missoula,,,Missoula KOA Holiday,Idaho,59808
200 Irvine Flats Road,Polson,,,Polson / Flathead Lake KOA Holiday,Idaho,59860
"RR 1, Box 1009",2205 Hwy 47 N,,,Hardin KOA Journey,Idaho,2205 
850 Lincoln Road West,Helena,,,Helena North KOA Journey,Idaho,59602
163 Pine Creek Road,Livingston,,,Livingston / Paradise Valley KOA Holiday,Idaho,59047
44 County Road 443,Hillsboro,,,Decatur / Wheeler Lake KOA Holiday,,35643
1601 Kaw Avenue,Butte,,,Butte KOA Journey,,59701
547 Garden Avenue,Billings,,,Billings KOA Holiday,,59101
693 Highway 10,Big Timber,,,Big Timber / Greycliff KOA Journey,,59011
1500 51st Street South,Great Falls,,,Great Falls KOA Holiday,,59405
7777 Mission Road,Cranbrook Canada,,,Cranbrook / St. Eugene KOA Journey,Wyoming,V1C7E
3779 New Harris Road,New Harris 1T1 Canada,,,North Sydney / Cabot Trail KOA,Wyoming,B1X 1
133 Aiton Rd,Sussex 2V5 Canada,,,Sussex KOA Journey,Ontario,E4G 2
South 235A Stand Rock Road,Wisconsin Dells,,,Wisconsin Dells KOA Holiday,Ontario,53965
3070 Highway 1,Upper Sackville 3C9 Canada,,,Halifax West KOA,Ontario,B4E 3
18 Campground Drive,Bomoseen,,,Lake Bomoseen KOA Holiday,Ontario,05732
200 Jay St,PO Box 8,,,Oakdale KOA Journey,Ontario,PO Bo
3700 Woodstock Road,White River Junction,,,Quechee / Pine Valley KOA Holiday,Ontario,05001
1238 US Route 5,East Dummerston-9764,,,Brattleboro North KOA Journey,Ontario,05346
872 E State Rd 59,Milton,,,Milton KOA Holiday,Ontario,53563
684 Chemin Olivier,St Nicolas 2N6 Canada,,,Quebec City KOA Holiday,Ontario,G7A 2
1699 Shefford,Bromont 3N8 Canada,,,Bromont KOA Holiday,Ontario,J2L 3
109 Chemin du Lac Sud,St.-Mathieu-de-Rioux Canada,,,Bas Saint-Laurent KOA Resort,Ontario,St.-M
130 montee Monette,St Philippe de Laprairie 2K0 Canada,,,Montreal South KOA Journey,Ontario,J0L 2
1501 2nd Ave W,Lethbridge Canada,,,Lethbridge KOA,Ontario,T1J4S
15020 Highway 187 South,Eureka Springs,,,Eureka Springs KOA Journey,Ontario,72631
5 Shearakin Lane,Rocky Harbour 4N0 Canada,,,Gros Morne / Norris Point KOA Holiday,Ontario,A0K 4
63 Decker Road,Sheridan,,,Sheridan / Big Horn Mountains KOA Journey,Ontario,82801
50409 B Highway 16,Hinton 1X3 Canada,,,Hinton / Jasper KOA Holiday,Ontario,T7V 1
162 Spruce River Road,Shuniah 0N6 Canada,,,Thunder Bay KOA Holiday,Ontario,P7A 0
818 Lalande Rd,Sturgeon Falls Canada,,,Sturgeon Falls KOA Holiday,Ontario,P2B2V
2826 Johnston Road,Renfrew 3Z8 Canada,,,Renfrew / Ottawa West KOA Journey,Ontario,K7V 3
501 Fifth Line East,Sault Ste Marie 6J8 Canada,,,Sault Ste. Marie KOA Holiday,Ontario,P6A 6
398235 28th Ave East,Owen Sound 5N8 Canada,,,Owen Sound KOA Journey,Ontario,N4K 5
8625 Lundy's Lane,Niagara Falls 1H5 Canada,,,Niagara Falls KOA Holiday,Ontario,L2H 1
15051 Telephone Road,"Exit 509,",,,Brighton / 401 KOA Holiday,Ontario,Exit 
276 Rankin Lake Road,Seguin 0B2 Canada,,,Parry Sound KOA Holiday,Ontario,P2A 0
3138 Penetanguishene Road,SPRINGWATER 1Z7 Canada,,,Barrie KOA Holiday,Ontario,L9X 1
609 Pittston Road,RR # 1,,,Cardinal / Ottawa South KOA Holiday,Ontario,RR # 
1477 County Road 2,PO Box 29,,,1000 Islands / Mallorytown KOA Holiday,Ontario,PO Bo
2039 Cordukes Road,Kingston 4V4 Canada,,,1000 Islands / Kingston KOA Holiday,Ontario,K7L 4
86 Foothill Boulevard,Rock Springs,,,Rock Springs / Green River KOA Journey,Ontario,82901
205 E. Highway 71,Rawlins,,,Rawlins KOA Journey,Ontario,82301
514 1000 Island Parkway,Lansdowne 1L0 Canada,,,1000 Islands / Ivy Lea KOA Holiday,Ontario,K0E 1
399 North 2nd Street,Greybull,,,Greybull KOA Holiday,Ontario,82426
168 Cold Springs Road (Highway 91),Douglas,,,Douglas KOA Journey,Ontario,82633
225 Welty Street,Dubois,,,Dubois / Wind River KOA Holiday,Ontario,82513
5561 Greybull Highway,Cody,,,Cody KOA Holiday,Ontario,82414
1545 State Highway 413,Lyman,,,Lyman KOA Journey,Ontario,82937
60 Highway 110,PO BOX  100,,,Devils Tower / Black Hills KOA Journey,Ontario,PO BO
1101 Prairie Lane,Bar Nunn,,,Casper KOA Journey,Ontario,82601
3181 Richardson Hwy,Valdez,,,Valdez KOA Journey,Ontario,99686
588 Jones drive south,St Francois Xavier / winnipeg 1A1 Canada,,,Winnipeg West KOA Journey,Ontario,St Fr
87 US Highway 16 East,Buffalo,,,Buffalo KOA Journey,Ontario,82834
3425 Sterling Highway(Mile 169),PO Box 3695,,,Homer / Baycrest KOA Holiday,Ontario,PO Bo
16105 US 50 West,Salida,,,Salida / Mt. Shavano KOA Journey,Ontario,81201
31702 Herman Leirer Road,Seward,,,Seward KOA Journey,Ontario,99664
1316 Badger Road,North Pole,,,Fairbanks / Chena River KOA,Ontario,99705
3603 Lincoln Avenue,Steamboat Springs,,,Steamboat Springs KOA Holiday,Ontario,80487
"9040 Interstate 25 South @ Exit 74,",Pueblo,,,Pueblo South / Colorado City KOA Holiday,Ontario,81004
559 County Road 3A,Canon City,,,Royal Gorge / Canon City KOA Holiday,Ontario,81215
"4131 Interstate 25 North, Exit 108",Pueblo,,,Pueblo KOA Journey,Ontario,81008
225 CR 23,Ridgway,,,Ouray KOA Holiday,Ontario,81432
200 N Cedar Avenue,Montrose,,,Montrose / Black Canyon Nat'l Park KOA Journey,Ontario,81401
143 Co Rd 48,Grand Lake,,,Grand Lake / Rocky Mountain National Park KOA Journey,Ontario,80447
2819 Highway 50,Grand Junction,,,Grand Junction KOA Holiday,Ontario,81503
629 River Frontage Road,Silt,,,Glenwood Springs West / Colorado River KOA Holiday,Ontario,81652
4821 E CR RD 70,Wellington,,,Fort Collins North / Wellington KOA Journey,Ontario,80549
26680 Highway 50,La Junta,,,La Junta KOA Journey,Ontario,81050
1910 Lakeside Resort Lane,Fort Collins,,,Fort Collins / Lakeside KOA Holiday,Ontario,80524
575 Colorado Avenue,Limon-2215,,,Limon KOA Journey,Ontario,80828
105 County Road 50,Gunnison,,,Gunnison KOA Journey,Ontario,81230
2051 Big Thompson Ave.,Estes Park,,,Estes Park KOA Holiday,Ontario,80517
14010 Judge Orr Road,Peyton,,,Falcon / Colorado Springs NE KOA Holiday,Ontario,80831
1312 Monroe Street,Strasburg,,,Denver East / Strasburg KOA Holiday,Ontario,80136
605 Lake Gulch Rd Co Rd 6,Central City-0771,,,Denver West / Central City KOA Holiday,Ontario,80427
2800 E  Hwy 40,Craig,,,Craig KOA Journey,Ontario,81625
6900 Juniper Lane,Alamosa,,,Alamosa / Great Sand Dunes KOA Journey,Ontario,81101
7202 Highway 133,Carbondale,,,Carbondale / Crystal River KOA Holiday,Ontario,81623
8100 Bandley Drive,Fountain,,,Colorado Springs KOA Holiday,Ontario,80817
2205 Tin Top Rd,Weatherford,,,Weatherford / Fort Worth West KOA Journey,Ontario,76087
500 St Michael Drive,Texarkana,,,Texarkana KOA Journey,Ontario,75503
2576 County Road 81,PO Box 1689,,,Cripple Creek KOA Holiday,Ontario,PO Bo
13037 I-35,Sanger,,,Sanger / Denton North KOA Journey,Ontario,76266
1 Padre Blvd,South Padre Island,,,South Padre Island KOA Holiday,Ontario,78597
602 Gembler Road,San Antonio-1013,,,San Antonio / Alamo KOA Holiday,Ontario,78219
6699 Knickerbocker Road,San Angelo,,,San Angelo KOA Holiday,Ontario,76904
3025 FM 1781,Rockport,,,Rockport KOA Holiday,Ontario,78382
745 FM 343 East,Rusk,,,Rusk KOA Holiday,Ontario,75785
250 FM 2021,Lufkin,,,Lufkin KOA Journey,Ontario,75901
5502 County Road 6300,Lubbock,,,Lubbock KOA Journey,Ontario,79416
2689 Hero Way,Leander,,,Leander / NW Austin  KOA Holiday,Ontario,78641
1348 Co Rd 302,Port Lavaca,,,Port Lavaca / Matagorda Bay KOA Holiday,Ontario,77979
19785 Highway 105 West,Montgomery,,,Lake Conroe / Houston North KOA Holiday,Ontario,77356
2400 Goat Creek Road,Kerrville,,,Kerrville KOA Journey,Ontario,78028
2322 Greenhill Rd,Mt Pleasant,,,Mount Pleasant KOA Journey,Ontario,75455
2715 S. Cooper,Arlington,,,Dallas / Arlington KOA Holiday,Ontario,76015
13785 State Hwy 19,Canton,,,Canton KOA Holiday,Ontario,75103
23700 San Luis Pass Road,Galveston,,,Galveston Island KOA Holiday,Ontario,77554
1202 East 3rd Street,Burkburnett,,,Burkburnett / Wichita Falls KOA Journey,Ontario,76354
505 CR 212,Brookeland,,,Brookeland / Lake Sam Rayburn KOA Holiday,Ontario,75931
101 Caribbean Dr.,Corpus Christi,,,Corpus Christi KOA Journey,Ontario,78418
1100 Folsom Road,Amarillo,,,Amarillo KOA Journey,Ontario,79108
6029 Blue Bluff Road,Austin,,,Austin East KOA Holiday,Ontario,78724
4851 West Stamford Street,Abilene,,,Abilene KOA Journey,Ontario,79603
3025 N Barker Rd,Spokane Valley,,,Spokane KOA Journey,Ontario,99027
102 Lyons Ferry Road,Starbuck,,,Starbuck / Lyons Ferry Marina KOA Holiday,Ontario,99359
153 RV Park Rd,Cotulla,,,Cotulla / Nueces River KOA Journey,Ontario,78014
1114 State Route 20,PO Box 305,,,Winthrop / N. Cascades National Park KOA Holiday,Ontario,PO Bo
8801 Saint Thomas Drive,Pasco,,,Pasco / Tri-Cities KOA Journey,Ontario,99301
80 O'Brien Road,Port Angeles,,,Olympic Peninsula / Port Angeles KOA Journey,Ontario,98362
8717 Line Road,Lynden,,,Lynden / Bellingham KOA Journey,Ontario,98264
167 Schaffran Rd,Castle Rock,,,Longview North / Mount St Helens KOA Journey,Ontario,98611
308 Zelt Strasse,Leavenworth,,,Leavenworth / Pine Village  KOA Holiday,Ontario,98826
6397 North Green Road,Burlington,,,Burlington / Anacortes KOA Holiday,Ontario,98233
1002 McGowen Road,Newport,,,Newport / Little Diamond Lake KOA Holiday,Ontario,99156
1753 Granite Rd.,Colfax,,,Boyer Park & Marina / Snake River KOA Holiday,Ontario,99111
32 S. Thorp Hwy.,Ellensburg,,,Ellensburg KOA Journey,Ontario,98926
7370 Russell Road,Concrete,,,Concrete / Grandy Creek KOA Holiday,Ontario,98237
2000 Lion Country Safari Road,Loxahatchee-3976,,,West Palm Beach / Lion Country Safari KOA Journey,Ontario,33470
457 Bay Center Road,Bay Center,,,Bay Center / Willapa Bay KOA Journey,Ontario,98527
5400 95th Street North,St. Petersburg,,,St. Petersburg / Madeira Beach KOA Holiday,Ontario,33708
4513 West Main Street,Mims,,,Titusville / Kennedy Space Center KOA Journey,Ontario,32754
251 State Road 939,Sugarloaf Key-0469,,,Sugarloaf Key / Key West KOA Holiday,Ontario,33042
