name,address,city,state,zip,lat,lng
Hot Springs National Park KOA Holiday,838 McClendon Road,Hot Springs,Arkansas,71901,34.526453,-92.974072
Pocatello KOA Journey,9815 W Pocatello Creek Road,Pocatello,Idaho,83201,42.904916,-112.380093
Eureka Springs KOA Journey,15020 Highway 187 South,Eureka Springs,Arkansas,72631,36.467606,-93.834419
Kamiah / Clearwater River KOA Journey,4243 Highway 12,Kamiah,Idaho,83536,46.223705,-116.001302
Lava Hot Springs West KOA Holiday,89 North Center Street,Lava Hot Springs,Idaho,83246,42.611071,-112.02462
Lava Hot Springs East KOA Holiday,100 Bristol Park Lane,Lava Hot Springs,Idaho,83246,42.611071,-112.02462
Montpelier Creek KOA Journey,28501 US Highway 89 North,Montpelier,Idaho,83254,42.328779,-111.271877
Boise / Meridian KOA Journey,184 Pennwood Street,Meridian,Idaho,83642,43.568006,-116.404411
Craters of the Moon / Arco KOA Journey,2424 North 3000 West,Arco,Idaho,83213,43.539315,-113.266776
Indianapolis KOA Holiday,5896 West 200 North,Greenfield,Indiana,46140,39.801973,-85.772071
Indiana Beach / Monticello KOA Holiday,2882 N.W. Shafer Drive,Monticello,Indiana,47960,40.779015,-86.751024
Bluffton / Fort Wayne South KOA Journey,1625 West Lancaster Street,Bluffton,Indiana,46714,40.722652,-85.176526
Brown County / Nashville KOA Holiday,2248 State Road 46 E,Nashville-9250,Indiana,47448,39.17953,-86.235511
Crawfordsville KOA Journey,1600 Lafayette Road,Crawfordsville,Indiana,47933,40.038913,-86.896849
Elkhart Co. / Middlebury KOA Holiday,52867 State Road 13,Middlebury,Indiana,46540,41.680015,-85.698192
Batesville KOA Journey,7234 E State Rd 46,Batesville,Indiana,47006,39.291996,-85.215884
Angola / Hogback Lake KOA Holiday,5251 West US 20,Angola,Indiana,46703,41.649589,-85.00655
Topeka / Capital City KOA Journey,1949 SW 49th,Topeka,Kansas,66609,38.978236,-95.660737
Salina KOA Holiday,1109 West Diamond Drive,Salina,Kansas,67401,38.831829,-97.654574
Shreveport North / Caddo Lake Area KOA,7781 Highway 1 North,Shreveport,Louisiana,71107,32.595618,-93.859525
Dodge City KOA Journey,701 Park Street,Dodge City,Kansas,67801,37.723603,-100.057186
Goodland KOA Journey,1114 East US Highway 24,Goodland,Kansas,67735,39.344787,-101.753217
Shreveport / Bossier City KOA Journey,6510 West 70th Street,Shreveport,Louisiana,71129,32.38606,-93.913664
New Orleans KOA Holiday,11129 Jefferson Highway,River Ridge,Louisiana,70123,29.949939,-90.205559
Kansas City West / Lawrence KOA Holiday,1473 Highway 40,Lawrence,Kansas,66044,39.023294,-95.208909
Lafayette KOA Holiday,1825 Saint Mary St.,Scott,Louisiana,70583,30.261065,-92.123656
Baton Rouge KOA Holiday,7628 Vincent Road,Denham Springs,Louisiana,70726,30.425575,-90.88612
Washington DC / Capitol KOA Holiday,768 Cecil Avenue North -,Millersville,Maryland,21108,39.090315,-76.621257
Hagerstown / Antietam Battlefield KOA Holiday,11759 Snug Harbor Lane,Williamsport,Maryland,21795,39.580609,-77.823698
Sutherlin / Umpqua Valley KOA,609 Fort McKay,Sutherlin,Oregon,97479,43.39035,-123.208305
Redmond / Central Oregon KOA Holiday,2435 Southwest Jericho Lane,Culver,Oregon,97734,44.542438,-121.336146
Pendleton KOA Journey,1375 SE 3RD St.,Pendleton-4101,Oregon,97801,45.670806,-118.823573
Waldport / Newport KOA Journey,1330 NW Pacific Coast Highway,Waldport,Oregon,97394,44.443864,-123.907156
Oregon Dunes KOA Holiday,68632 Hwy 101,North Bend,Oregon,97459,43.484217,-124.182735
Wilmington KOA Holiday,7415 Market Street,Wilmington,North Carolina,28411,34.301809,-77.793089
Statesville / I-77 KOA Journey,162 KOA Lane,Statesville,North Carolina,28677,35.738099,-80.926089
Twin Mountain / Mt. Washington KOA Holiday,372 Route 115,Twin Mountain,New Hampshire,03595,44.305211,-71.497351
Northampton / Springfield KOA Holiday,139 South Road,Westhampton,Massachusetts,01027,42.295008,-72.751877
Boston / Cape Cod KOA Holiday,438 Plymouth Street,Middleboro,Massachusetts,02346,41.878004,-70.869267
St. Louis West / Historic Route 66 KOA Holiday,18475 Old US Hwy 66,Eureka,Missouri,63025,38.48753,-90.620119
Springfield / Route 66 KOA Holiday,5775 West Farm Road 140,Springfield,Missouri,65802,37.20745,-93.354612
Lebanon / Bennett Spring KOA Holiday,13654 Hwy 64,Lebanon,Missouri,65536,37.68769,-92.644458
St. Louis N.E. / I-270 / Granite City  KOA Journey,3157 West Chain of Rocks Road,Granite City,Illinois,62040,38.725838,-90.111791
Skowhegan / Kennebec Valley KOA Journey,18 Cabin Road,Canaan,Maine,04924,44.782241,-69.546315
Niantic / I-95 Exit 72 KOA Journey,271 West Main St,Niantic,Connecticut,06357,41.327149,-72.215344
Williams / Exit 167 / Circle Pines KOA Holiday,1000 Circle Pines Road,Williams,Arizona,86046,35.415916,-112.124547
Ventura Ranch KOA Holiday,7400 Pine Grove Road,Santa Paula,California,93060,34.402343,-119.094824
Visalia / Sequoia National Park KOA Journey,7480 Avenue 308,Visalia,California,93291,36.391777,-119.372842
"Willcox / Cochise, AZ KOA Holiday",700 N Virginia Avenue,Willcox,Arizona,85643,32.407245,-109.96549
Temecula / Vail Lake KOA,38000 Hwy 79 South,Temecula,California,92592,33.511228,-117.042396
Trinity Lake KOA Holiday,60260 State Highway 3,Trinity Center,California,96091,41.034706,-122.791321
Santa Margarita KOA Holiday,4765 Santa Margarita Lake Rd.,Santa Margarita,California,93453,35.303925,-120.256566
Santa Cruz North / Costanoa KOA,2001 Rossi Road at Hwy 1,Pescadero,California,94060,37.247137,-122.273493
San Francisco North / Petaluma KOA,20 Rainsville Road,Petaluma,California,94952,38.234553,-122.760385
Santa Cruz / Monterey Bay KOA Holiday,1186 San Andreas Road,Watsonville,California,95076,36.946256,-121.756479
Palm Springs / Joshua Tree KOA,70405 Dillon Rd,Desert Hot Springs,California,92241,33.842584,-116.2929
San Diego Metro KOA Resort,111 North 2nd Avenue,Chula Vista,California,91910,32.637868,-117.058031
Placerville KOA Journey,4655 Rock Barn Road,Shingle Springs,California,95682,38.612129,-120.964522
Red Bluff KOA Journey,100 Lake Avenue,Red Bluff,California,96080,40.18189,-122.377104
Salinas / Monterey KOA,8710 Prunedale North Road,Salinas,California,93907,36.769389,-121.667532
Needles KOA Journey,5400 Route 66,Needles,California,92363,34.894366,-114.640335
Oroville / Feather Falls Casino KOA Journey,3 Alverda Dr.,Oroville,California,95966,39.47536,-121.41411
Mt. Lassen / Shingletown KOA Holiday,7749 KOA Road,Shingletown,California,96088,40.51087,-121.876112
Lost Hills KOA,14831 Warren Street,Lost Hills,California,93249,35.621706,-119.887939
Moss Landing KOA Express,7905 Sandholdt Road,Moss Landing,California,95039,36.82815,-121.776583
Lake Isabella / Kern River KOA,15627 Highway 178,Weldon,California,93283,35.592099,-118.297698
Manchester Beach / Mendocino Coast KOA Journey,44300 Kinney Road,Manchester,California,95459,38.97664,-123.604802
Mount Shasta City KOA Holiday,900 North Mt Shasta Blvd.,Mt Shasta,California,96067,41.314337,-122.380798
Crescent City / Redwoods KOA Holiday,4241 Highway 101 North,Crescent City,California,95531,41.819578,-124.065667
Coleville / Walker KOA Holiday,110437 US Highway 395,Coleville,California,96107,38.425282,-119.475743
Cloverdale / Healdsburg KOA,1166 Asti Ridge Road,Cloverdale,California,95425,38.823058,-123.063891
Burney Falls / Hat Creek KOA Holiday,15565 Black Angus Lane,Hat Creek,California,96040,40.793535,-121.438607
Banning Stagecoach KOA Journey,1455 S. San Gorgonio Avenue,Banning,California,92220,33.948948,-116.832362
Barstow / Calico KOA Holiday,35250 Outer Highway 15 North,Yermo,California,92398,34.91588,-116.865561
Benbow KOA Holiday,7000 Benbow Drive,Garberville,California,95542,40.080405,-123.783948
Boulevard / Cleveland National Forest KOA Holiday,1331 Shasta Way,Boulevard,California,91905,32.67807,-116.306851
Bakersfield KOA Journey,5025 Wible Rd,Bakersfield,California,93313,35.16319,-119.046322
Avila / Pismo Beach KOA,7075 Ontario Road,San Luis Obispo,California,93405,35.296958,-120.733134
Seligman / Route 66 KOA Journey,21305 I-40 Business Loop,Seligman,Arizona,86337,35.359789,-113.031101
Tucson / Lazydays KOA Resort,5151 South Country Club Road,Tucson,Arizona,85706,32.147619,-110.933338
Salome KOA Journey,64812 Harcuvar Drive,Salome-0831,Arizona,85348,33.714236,-113.721274
Picacho / Tucson NW KOA Journey,18428 South Picacho Highway,Picacho,Arizona,85141,32.643001,-111.437094
Mesa / Apache Junction KOA Journey,1540 South Tomahawk Road,Apache Junction,Arizona,85119,33.409686,-111.50196
Kingman KOA Journey,3820 North Roosevelt,Kingman,Arizona,86409,35.461006,-114.01806
Holbrook / Petrified Forest KOA Journey,102 Hermosa Drive,Holbrook,Arizona,86025,34.930781,-110.104808
Flagstaff KOA Holiday,5803 North US Highway 89,Flagstaff,Arizona,86004,35.380939,-111.373463
Grand Canyon / Williams KOA Journey,5333 State Highway 64,Williams,Arizona,86046,35.415916,-112.124547
Benson KOA Journey,180 West Four Feathers Lane,Benson-7952,Arizona,85602,32.167495,-110.411875
Mystic KOA Holiday,118 Pendleton Hill Road,North Stonington,Connecticut,06359,41.470969,-71.872525
Lake Oconee / Greensboro KOA Holiday,2541 Carey Station Road,Greensboro,Georgia,30642,33.554175,-83.194404
Savannah South KOA Holiday,4915 US Highway 17 South,Richmond Hill,Georgia,31324,31.851496,-81.262181
Tifton KOA Journey,4632 Union Road,Tifton,Georgia,31794,31.445884,-83.452678
Lookout Mountain / Chattanooga West KOA Holiday,930 Mountain Shadows Drive,Trenton,Georgia,30752,34.914982,-85.537961
Hiawassee KOA Holiday,751 Gander Gap Rd,Hiawassee,Georgia,30546,34.898796,-83.696585
Jacksonville North / St. Marys KOA Holiday,2970 Scrubby Bluff Road,Kingsland,Georgia,31548,30.796163,-81.698233
Hartwell Lakeside KOA Holiday,330 Hart State Park Rd,Hartwell-4129,Georgia,30643,34.363471,-82.908806
Forsyth KOA Journey,414 S. Frontage Road,Forsyth,Georgia,31029,33.040249,-83.934515
Cordele KOA Journey,373 Rockhouse Road East,Cordele,Georgia,31015,31.935,-83.774945
Commerce / Athens KOA Journey,5473 Mount Olive Road,Commerce,Georgia,30529,34.217179,-83.482653
Americus KOA Journey,1619 US Hwy 280 East,Americus,Georgia,31709,32.064806,-84.123242
Blue Ridge / Toccoa River KOA Holiday,67 Blackhawk Drive,Blue Ridge,Georgia,30513,34.821043,-84.322383
Rock Island / Quad Cities KOA Holiday,2311 78th Avenue West,Rock Island,Illinois,61201,41.477559,-90.575628
Springfield KOA Journey,4320 KOA Road,Rochester,Illinois,62563,39.719259,-89.496252
Kankakee South KOA Holiday,425 East 6000 South Road,Chebanse,Illinois,60922,41.010925,-87.91929
Lena KOA Holiday,10982 US Highway 20 West,Lena,Illinois,61048,42.382631,-89.841219
Grayville / I-64 KOA Holiday,200 Koehler St.,Grayville,Illinois,62844,38.262729,-88.043467
Galesburg East / Knoxville KOA Journey,1081 US HWY 150 E,Knoxville,Illinois,61448,40.933602,-90.246806
Chicago Northwest KOA Holiday,8404 South Union Road,Union,Illinois,60180,42.225262,-88.524527
Casey KOA Journey,1248 East 1250th Road,Casey,Illinois,62420,39.287033,-87.998545
Waterloo / Lost Island Waterpark KOA Resort,4550 La Porte Rd ( Hess Rd),Waterloo,Iowa,50701,42.418259,-92.339821
Benton KOA Journey,1500 North DuQuoin Street,Benton,Illinois,62812,37.997347,-88.916946
Onawa / Blue Lake KOA Holiday,21788 Dogwood Avenue,Onawa-8665,Iowa,51040,42.036236,-96.087049
Russell Springs KOA Journey,1440 Highway 1383,Russell Springs,Kentucky,42642,37.058681,-85.035151
Renfro Valley KOA Holiday,184 KOA Campground Rd,Mt. Vernon,Kentucky,40456,37.353471,-84.319508
Paducah / I-24 / Kentucky Lake KOA Journey,4793 US Highway 62,Calvert City,Kentucky,42029,37.006472,-88.39196
Kentucky Lakes / Prizer Point KOA,1777 Prizer Point Rd.,Cadiz,Kentucky,42211,36.817748,-87.833699
Louisville South KOA Holiday,2433 Highway 44 East,Shepherdsville,Kentucky,40165,37.973087,-85.672012
Newton / Des Moines East KOA Journey,1601 East 36th Street South,Newton,Iowa,50208,41.711721,-93.033958
Corbin / Laurel Lake KOA Journey,171 East City Dam Road,Corbin,Kentucky,40701,36.921744,-84.15771
Horse Cave KOA Holiday,KOA AVE,Horse Cave,Kentucky,42749,37.18382,-85.877076
Bowling Green KOA Holiday,1960 Three Springs Road,Bowling Green,Kentucky,42104,36.876864,-86.45119
Ashland / Huntington West KOA Holiday,80 KOA Lane,Argillite,Kentucky,41121,38.439405,-82.833674
Des Moines West KOA Holiday,34308 L Avenue,Adel,Iowa,50003,41.611504,-94.043026
Naples KOA Holiday,295 Sebago Road,Naples,Maine,04055,43.975769,-70.639298
Houlton / Canadian Border KOA Journey,659 North Street,Houlton,Maine,04730,46.191023,-67.860968
Lebanon KOA Holiday on Salmon Falls River,21 Flat Rock Bridge Road,Lebanon,Maine,04027,43.399909,-70.912785
Freeport / Durham KOA Holiday,82 Big Skye Lane,Durham,Maine,04222,43.956021,-70.132418
Bucksport / Fort Knox KOA Holiday,32 Leaches Point Rd,Orland,Maine,04472,44.57632,-68.669915
Augusta / Gardiner KOA Journey,30 Mallard Drive,Richmond,Maine,04357,44.116833,-69.829607
Bar Harbor / Oceanside KOA Holiday,136 County Road,Bar Harbor,Maine,04609,44.39747,-68.263808
Bangor / Holden KOA Holiday,602 Main Road,Holden,Maine,04429,44.72116,-68.617002
Lake of the Ozarks / Linn Creek KOA Holiday,4171 US-54,Linn Creek,Missouri,65052,38.083492,-92.61734
Kansas City East / Oak Grove KOA Holiday,303 NE 3rd Street,Oak Grove,Missouri,64075,38.999631,-94.145273
Joplin KOA Journey,4359 Dakota Lane,Joplin,Missouri,64804,37.021691,-94.510899
Branson KOA Holiday,397 Animal Safari Road,Branson,Missouri,65616,36.669373,-93.248879
Rochester / Marion KOA Journey,5232 65th Avenue SE,Rochester-6313,Minnesota,55904,43.959886,-92.400595
Minneapolis Southwest KOA Holiday,3315 West 166th Street,Jordan,Minnesota,55352,44.651475,-93.592608
Jackson KOA Journey,2035 Highway 71 North,Jackson,Minnesota,56143,43.632603,-95.00868
Minneapolis Northwest KOA Journey,10410 Brockton Lane North,Maple Grove,Minnesota,55311,45.106403,-93.497029
Bemidji KOA Journey,510 Brightstar Road NW,Bemidji,Minnesota,56601,47.507374,-94.863994
Albert Lea / Austin KOA Journey,84259 County Road 46,Hayward,Minnesota,56043,43.649401,-93.222394
Cloquet / Duluth KOA Journey,1381 Kampground Road,Cloquet,Minnesota,55720,46.751015,-92.53338
Tucumcari / Route 66 KOA Journey,6299  Quay Road AL,Tucumcari,New Mexico,88401,35.119482,-103.82223
Silver City KOA Holiday,11824 Highway 180 E,Silver City,New Mexico,88022,32.808002,-108.176468
Santa Fe KOA Journey,934 Old Las Vegas Highway,Santa Fe,New Mexico,87505,35.616964,-105.877135
Raton KOA Journey,1330 South 2nd Street,Raton,New Mexico,87740,36.749268,-104.407369
Lordsburg KOA Journey,1501 Lead Street,Lordsburg,New Mexico,88045,32.385089,-108.756093
"Las Vegas, New Mexico  KOA Journey",76 County Road a25a,Las Vegas,New Mexico,87701,35.542113,-104.933487
Grants KOA Journey,26 Cibola Sands Loop,Grants,New Mexico,87020,34.86525,-107.947956
Las Cruces KOA Journey,814 Weinrich Road,Las Cruces,New Mexico,88007,32.441109,-106.921281
Carlsbad KOA Holiday,"2 Manthei Road, Highway 285",Carlsbad,New Mexico,88220,32.311474,-104.431928
Alamogordo / White Sands KOA Journey,412 24th Street,Alamogordo,New Mexico,88310,32.641272,-106.072883
West Omaha / NE Lincoln KOA Holiday,14601 Highway 6,Gretna,Nebraska,68028,41.105185,-96.258314
Ogallala / Tri Trails KOA,120 Road East 80,Ogallala,Nebraska,69153,41.101361,-101.675692
Grand Island KOA Journey,904 South B Road,Doniphan,Nebraska,68832,40.7633,-98.369182
Ogallala / I-80 KOA Journey,221 Road East 85,Ogallala,Nebraska,69153,41.101361,-101.675692
Strafford / Lake Winnipesaukee South KOA Holiday,79 First Crown Point Road,Strafford,New Hampshire,03884,43.275308,-71.170004
Littleton / Franconia Notch KOA Holiday,2154 Route 302,Lisbon,New Hampshire,03585,44.222416,-71.877173
Lincoln / Woodstock KOA Holiday,1000 East Side Road,Woodstock,New Hampshire,03293,43.97062,-71.679913
Chocorua KOA Holiday,893 White Mountain Highway - PO Box 484,Tamworth,New Hampshire,03886,43.864038,-71.296068
Albuquerque North / Bernalillo KOA Journey,555 South Hill Road,Bernalillo,New Mexico,87004,35.368871,-106.597292
Albuquerque KOA Journey,12400 Skyline Road NE,Albuquerque,New Mexico,87123,35.067584,-106.470746
New Bern KOA Holiday,1565 B Street,New Bern,North Carolina,28560,35.126708,-76.977604
Outer Banks West / Currituck Sound KOA Holiday,1631 Waterlily Road,Coinjock,North Carolina,27923,36.396245,-75.931116
Murphy / Peace Valley KOA Holiday,117 Happy Valley Road,Marble,North Carolina,28905,35.163946,-83.940087
Lumberton / I-95 KOA Journey,465 Kenric Road,Lumberton,North Carolina,28360,34.670328,-79.07494
Greensboro KOA Journey,1896 Trox St,Greensboro,North Carolina,27406,36.000542,-79.764677
Boone KOA Holiday,123 Harmony Mountain Lane,Boone,North Carolina,28607,36.218005,-81.652138
Enfield / Rocky Mount KOA Journey,18562 NC HWY 481,Enfield,North Carolina,27823,36.209653,-77.713733
Asheville West KOA Holiday,309 Wiggins Road,Candler,North Carolina,28715,35.511966,-82.711701
Cape Hatteras / Outer Banks KOA Resort,25099 NC Hwy 12,Rodanthe,North Carolina,27968,35.732418,-75.509908
Asheville East KOA Holiday,2708 Highway 70 East,Swannanoa,North Carolina,28778,35.628881,-82.405472
Cherokee / Great Smokies KOA Holiday,92 KOA Campground Road,Cherokee,North Carolina,28719,35.517887,-83.334159
Wapakoneta KOA Holiday,14719 Cemetery Road,Wapakoneta,Ohio,45895,40.577695,-84.154664
Toledo East / Stony Ridge KOA Journey,24787 Luckey Road,Perrysburg,Ohio,43551,41.517951,-83.572004
Thompson / Grand River Valley KOA Holiday,6445 Ledge Rd,Thompson,Ohio,44086,41.675726,-81.058597
Sandusky / Bayshore KOA Holiday,East Shoreway Drive KOA,Sandusky,Ohio,44870,41.42828,-82.744814
Streetsboro / Cleveland SE KOA Holiday,187 State Route 303,Streetsboro-5245,Ohio,44241,41.242586,-81.347721
Sunbury / Columbus North KOA Holiday,8644 Porter Central Rd,Sunbury,Ohio,43074,40.269531,-82.850655
Mt. Gilead KOA Holiday,901 E High Street,Mt. Gilead,Ohio,43338,40.564167,-82.760333
Salem / Lisbon KOA Holiday,33807 Winona Road,Salem,Ohio,44460,40.899324,-80.870171
Shelby / Mansfield KOA Resort,6787 Baker 47,Shelby,Ohio,44875,40.88999,-82.651686
Logan / Hocking Hills KOA Holiday,29150 Pattor Rd,Logan,Ohio,43138,39.518345,-82.4141
Lebanon / Cincinnati NE KOA Holiday,760 Franklin Rd,Lebanon,Ohio,45036,39.444049,-84.214131
Lake Milton / Berlin Lake KOA Holiday,15487 Creed Rd,Lake Milton,Ohio,44429,41.097137,-80.979645
Dayton KOA Holiday,7796 Wellbaum Road,Brookville,Ohio,45309,39.842723,-84.414704
Carrollton KOA Holiday,4145 Fresno Rd. NW,Carrollton,Ohio,44615,40.564539,-81.074849
Butler / Mohican KOA Journey,6918 Bunker Hill Road South,Butler,Ohio,44822,40.556723,-82.398088
Coshocton KOA Holiday,24688 County Road 10,Coshocton,Ohio,43812,40.263768,-81.880904
Canton / East Sparta KOA Holiday,3232 Downing Street SW,East Sparta,Ohio,44626,40.688904,-81.381772
Buckeye Lake / Columbus East KOA Holiday,4460 Walnut Road,Buckeye Lake,Ohio,43008,39.93389,-82.480911
Medford / Gold Hill KOA Journey,12297 Blackwell Road,Central Point,Oregon,97502,42.414574,-122.954536
Andover / Pymatuning Lake KOA Holiday,7652 Pymatuning Lake Road,Williamsfield,Ohio,44093,41.530785,-80.614356
Lincoln City KOA Journey,5298 Northeast Park Lane,Otis,Oregon,97368,45.024376,-123.903116
Lemolo Lake / Crater Lake North KOA Holiday,2610 Birds Point Road,Idleyld Park,Oregon,97447,43.155248,-122.210461
Klamath Falls KOA Journey,3435 Shasta Way,Klamath Falls,Oregon,97603,42.152018,-121.683526
Cascade Locks / Portland East KOA Holiday,841 NE Forest Lane,Cascade Locks,Oregon,97014,45.568503,-122.04471
Grants Pass KOA Journey,699 Jumpoff Joe Creek Road,Grants Pass,Oregon,97526,42.535682,-123.338285
Bandon / Port Orford KOA Journey,46612 Highway 101 South,Langlois,Oregon,97450,42.905939,-124.397057
Albany / Corvallis KOA Journey,33775 Oakville Road South,Albany,Oregon,97321,44.65345,-123.139526
Astoria / Warrenton / Seaside KOA Resort,1100 Northwest Ridge Road,Hammond,Oregon,97121,46.171919,-123.951838
Townsend / Great Smokies KOA Holiday,8533 State Highway 73,Townsend,Tennessee,37882,35.601218,-83.813078
Sweetwater / I-75 / Exit 62 KOA Holiday,269 Murray's Chapel Road,Sweetwater,Tennessee,37874,35.59833,-84.456484
Paris Landing / Kentucky Lake KOA Holiday,6290 East Antioch Road,Buchanan,Tennessee,38222,36.445536,-88.157903
Newport / I-40 / Smoky Mountains KOA Journey,240 KOA Lane,Newport,Tennessee,37821,35.97517,-83.195566
Pigeon Forge / Gatlinburg KOA Holiday,3122 Veterans Blvd.,Pigeon Forge,Tennessee,37863,35.78596,-83.562198
Nashville KOA Resort,2626 Music Valley Drive,Nashville,Tennessee,37214,36.162189,-86.670867
Jonesborough / Cherokee NF KOA Journey,3937 Hwy 81 S,Jonesborough,Tennessee,37659,36.28021,-82.491063
Nashville East / Lebanon KOA Journey,2100 Safari Camp Road,Lebanon,Tennessee,37090,36.11174,-86.299189
Gatlinburg East / Smoky Mountain KOA Holiday,4874 Hooper Highway,Cosby,Tennessee,37722,35.814831,-83.202702
Buffalo / I-40 / Exit 143 KOA Journey,473 Barrren Hollow Road,Hurricane Mills,Tennessee,37078,35.910798,-87.746885
Crossville / I-40 KOA Holiday,6575 US-70,Crossville,Tennessee,38555,35.887881,-84.989016
Chattanooga North / Cleveland KOA Journey,648 Pleasant Grove Road,McDonald,Tennessee,37353,35.11501,-84.989096
Baileyton KOA Holiday,7485 Horton Highway,Greeneville,Tennessee,37745,36.278036,-82.820587
Bristol / Kingsport KOA Holiday,425 Rocky Branch Rd,Blountville,Tennessee,37617,36.524578,-82.365576
Travelers Rest / N Greenville KOA Holiday,2400 US-25,Travelers Rest,South Carolina,29690,35.059806,-82.417198
Santee / Santee Lakes KOA Journey,1268 Gordon Road,Summerton,South Carolina,29148,33.534198,-80.337458
Point South / I-95 / Yemassee KOA Holiday,14 Campground Rd  (I-95 @ Exit 33) & US 17,Yemassee,South Carolina,29945,32.673313,-80.765932
Myrtle Beach KOA Resort,613 5th Avenue South,Myrtle Beach,South Carolina,29577,33.698452,-78.902659
Newberry / I-26 / Sumter NF KOA Journey,567 Fairview Church Rd,Kinards,South Carolina,29355,34.289571,-81.826418
Mount Pleasant / Charleston KOA Holiday,3157 N Highway 17,Mount Pleasant,South Carolina,29466,32.877758,-79.792013
Charlotte / Fort Mill KOA Journey,940 Gold Hill Road,Fort Mill,South Carolina,29708,35.048705,-80.987118
Anderson / Lake Hartwell KOA Holiday,200 Wham Road,Anderson,South Carolina,29625,34.555099,-82.765677
Vernal / Dinosaurland KOA Holiday,930 North Vernal Avenue,Vernal,Utah,84078,40.627601,-109.480061
Charleston KOA Holiday,9494 U.S. Highway 78,Ladson,South Carolina,29456,32.985877,-80.11544
St. George / Hurricane KOA Journey,5800 North Old Highway 91,Hurricane,Utah,84737,37.044712,-113.206012
Springville / Provo KOA Holiday,1550 North 1750 West,Springville,Utah,84663,40.165628,-111.495076
Salt Lake City KOA Holiday,1400 West North Temple,Salt Lake City,Utah,84116,40.802748,-111.957032
Richfield KOA Holiday,590 West 600 South,Richfield,Utah,84701,38.601244,-111.698403
Monument Valley KOA Journey,"Milepost 2, Highway 163",Monument Valley,Utah,84536,37.127173,-110.351269
Moab KOA Holiday,3225 South Highway 191,Moab,Utah,84532,38.526725,-109.548649
Flaming Gorge / Manila KOA Journey,320 West Highway 43,Manila,Utah,84046,40.920775,-109.831095
Green River KOA Journey,235 South 1780 East,Green River,Utah,84525,39.081441,-110.054367
Fillmore KOA Journey,410 West 900 South,Fillmore,Utah,84631,38.957618,-112.388783
Brigham City / Perry South KOA Journey,1040 West 3600 South,Perry,Utah,84302,41.553593,-112.050764
Bear Lake / Trail Side KOA Journey,145 N. 300 W.,Garden City,Utah,84028,41.92378,-111.412329
Beaver KOA Journey,1428 N Manderfield Road (Hwy 357),Beaver,Utah,84713,38.322179,-112.650931
Bear Lake / Marina Side KOA Holiday,485 North Bear Lake Blvd,Garden City,Utah,84028,41.92378,-111.412329
